step,loss,suffix,changed_position,changed_token_id,elapsed_seconds
0,25.689666748046875,! ! ! ! ! ! ! !,,,0.0
1,21.176828384399414,u ! ! ! ! ! ! !,0,84,1.1545264720916748
2,19.234880447387695,u ! ! !p ! ! !,4,79,2.077152967453003
3,19.234880447387695,u ! ! !p ! ! !,,,2.9954919815063477
4,19.234880447387695,u ! ! !p ! ! !,,,3.915212631225586
5,18.249269485473633,u !- !p ! ! !,2,12,4.832316637039185
6,16.693584442138672,u !- !p ! !_,7,62,5.7510986328125
7,16.366865158081055,u !- !f ! !_,4,69,6.671824216842651
8,14.272099494934082,l !- !f ! !_,0,75,7.589308500289917
9,14.272099494934082,l !- !f ! !_,,,8.509071111679077
10,14.272099494934082,l !- !f ! !_,,,9.42702054977417
11,14.272099494934082,l !- !f ! !_,,,10.346209049224854
12,14.272099494934082,l !- !f ! !_,,,11.26426100730896
13,13.147758483886719,l !-!f ! !_,3,0,12.184887409210205
14,12.97811222076416,l !-!f ! !<,7,27,13.102533102035522
15,11.519165992736816,l !-!f !.<,6,13,14.021602392196655
16,11.499377250671387,l !-!f !;<,6,26,14.940003395080566
17,11.499377250671387,l !-!f !;<,,,15.858819961547852
18,11.499377250671387,l !-!f !;<,,,16.777742862701416
19,11.267319679260254,l !-!f !;;,7,26,17.696161031723022
20,11.267319679260254,l !-!f !;;,,,18.614718437194824
21,11.267319679260254,l !-!f !;;,,,19.529126405715942
22,11.267319679260254,l !-!f !;;,,,20.439679384231567
23,11.267319679260254,l !-!f !;;,,,21.349457025527954
24,11.267319679260254,l !-!f !;;,,,22.26043152809143
25,11.267319679260254,l !-!f !;;,,,23.16998529434204
26,11.267319679260254,l !-!f !;;,,,24.078718185424805
27,11.142358779907227,l !-!f !;:,7,25,24.991297006607056
28,11.142358779907227,l !-!f !;:,,,25.897952795028687
29,11.142358779907227,l !-!f !;:,,,26.808143377304077
30,11.142358779907227,l !-!f !;:,,,27.71804428100586
31,11.142358779907227,l !-!f !;:,,,28.62836265563965
32,11.142358779907227,l !-!f !;:,,,29.538439512252808
