step,loss,suffix,changed_position,changed_token_id,elapsed_seconds
0,20.642791748046875,! ! ! ! ! ! ! !,,,0.0
1,16.60361671447754,! ! ! ! ! ! !q,7,80,1.210489273071289
2,12.640335083007812,!k ! ! ! ! !q,1,74,2.166766405105591
3,10.359650611877441,!k ! ! ! !Oq,6,46,3.1266462802886963
4,9.262832641601562,ok ! ! ! !Oq,0,78,4.083174467086792
5,3.0209479331970215,ok ! ! !(Oq,5,7,5.041494369506836
6,2.4949352741241455,ok ! ! !(OZ,7,57,5.997864007949829
7,2.16945743560791,ok ! !/(OZ,4,14,6.963216304779053
8,1.9471774101257324,ok ! !/POZ,5,47,7.91828989982605
9,0.2512504458427429,ok ! !/KOZ,5,42,8.887768030166626
10,0.055230818688869476,"ok ! !,KOZ",4,11,9.840975284576416
11,0.020075466483831406,"ok ! !,KO0",7,15,10.80478572845459
